rebalance_date,ticker,rank,selected_flag
2015-06-22,VRSN,16.0,1
2015-06-22,NEM,17.0,1
2015-06-22,PAYX,18.0,1
2015-06-22,K,19.0,1
2015-06-22,DGX,20.0,1
2015-07-20,CLX,1.0,1
2015-07-20,AGN,2.0,1
2015-07-20,NTRS,3.0,1
2015-07-20,RIG,4.0,1
2015-07-20,PBCT,5.0,1
2015-07-20,CPB,6.0,1
2015-07-20,AMZN,7.0,1
2015-07-20,IBM,8.0,1
2015-07-20,HAS,9.0,1
2015-07-20,DE,10.0,1
2015-07-20,VRSN,11.0,1
2015-07-20,WAT,12.0,1
2015-07-20,LEG,13.0,1
2015-07-20,CB,14.0,1
2015-07-20,BLK,15.0,1
2015-07-20,CL,16.0,1
2015-07-20,CI,17.0,1
2015-07-20,K,18.0,1
2015-07-20,PAYX,19.0,1
2015-07-20,MLM,20.0,1
2015-08-17,CLX,1.0,1
2015-08-17,AGN,2.0,1
2015-08-17,CPB,3.0,1
2015-08-17,K,4.0,1
2015-08-17,PBCT,5.0,1
2015-08-17,CAG,6.0,1
2015-08-17,CB,7.0,1
2015-08-17,ED,8.0,1
2015-08-17,DE,9.0,1
2015-08-17,VRSN,10.0,1
2015-08-17,SO,11.0,1
2015-08-17,GIS,12.0,1
2015-08-17,RIG,13.0,1
2015-08-17,KMB,14.0,1
2015-08-17,EXPE,15.0,1
2015-08-17,NTRS,16.0,1
2015-08-17,CL,17.0,1
2015-08-17,PAYX,18.0,1
2015-08-17,LEG,19.0,1
2015-08-17,IBM,20.0,1
2015-09-14,CLX,1.0,1
2015-09-14,RIG,2.0,1
2015-09-14,CPB,3.0,1
2015-09-14,AGN,4.0,1
2015-09-14,K,5.0,1
2015-09-14,ED,6.0,1
2015-09-14,SYY,7.0,1
2015-09-14,PBCT,8.0,1
2015-09-14,DO,9.0,1
2015-09-14,HAS,10.0,1
2015-09-14,VRSN,11.0,1
2015-09-14,CB,12.0,1
2015-09-14,CINF,13.0,1
2015-09-14,CAG,14.0,1
2015-09-14,SO,15.0,1
2015-09-14,KMB,16.0,1
2015-09-14,GIS,17.0,1
2015-09-14,IBM,18.0,1
2015-09-14,BRCM,19.0,1
2015-09-14,BCR,20.0,1
2015-10-12,CLX,1.0,1
2015-10-12,CPB,2.0,1
2015-10-12,ED,3.0,1
2015-10-12,RIG,4.0,1
2015-10-12,SYY,5.0,1
2015-10-12,PAYX,6.0,1
2015-10-12,PBCT,7.0,1
2015-10-12,K,8.0,1
2015-10-12,CB,9.0,1
2015-10-12,SO,10.0,1
2015-10-12,VRSN,11.0,1
2015-10-12,KMB,12.0,1
2015-10-12,CL,13.0,1
2015-10-12,AGN,14.0,1
2015-10-12,CINF,15.0,1
2015-10-12,EXPE,16.0,1
2015-10-12,JNPR,17.0,1
2015-10-12,NVDA,18.0,1
2015-10-12,HAS,19.0,1
2015-10-12,IBM,20.0,1
2015-11-09,CLX,1.0,1
2015-11-09,NVDA,2.0,1
2015-11-09,VRSN,3.0,1
2015-11-09,CPB,4.0,1
2015-11-09,PAYX,5.0,1
2015-11-09,SYY,6.0,1
2015-11-09,CB,7.0,1
2015-11-09,PBCT,8.0,1
2015-11-09,ED,9.0,1
2015-11-09,CINF,10.0,1
2015-11-09,K,11.0,1
2015-11-09,KMB,12.0,1
2015-11-09,SO,13.0,1
2015-11-09,AGN,14.0,1
2015-11-09,CL,15.0,1
2015-11-09,KLAC,16.0,1
2015-11-09,HRL,17.0,1
2015-11-09,BLK,18.0,1
2015-11-09,RIG,19.0,1
2015-11-09,SCG,20.0,1
2015-12-07,CLX,1.0,1
2015-12-07,VRSN,2.0,1
2015-12-07,CPB,3.0,1
2015-12-07,ED,4.0,1
2015-12-07,NVDA,5.0,1
2015-12-07,PAYX,6.0,1
2015-12-07,CB,7.0,1
2015-12-07,HRL,8.0,1
2015-12-07,KLAC,9.0,1
2015-12-07,CINF,10.0,1
2015-12-07,SYY,11.0,1
2015-12-07,SO,12.0,1
2015-12-07,KMB,13.0,1
2015-12-07,K,14.0,1
2015-12-07,CL,15.0,1
2015-12-07,PBCT,16.0,1
2015-12-07,AGN,17.0,1
2015-12-07,BLK,18.0,1
2015-12-07,DO,19.0,1
2015-12-07,NTAP,20.0,1
2016-01-04,CLX,1.0,1
2016-01-04,NVDA,2.0,1
2016-01-04,VRSN,3.0,1
2016-01-04,KLAC,4.0,1
2016-01-04,ED,5.0,1
2016-01-04,CPB,6.0,1
2016-01-04,PAYX,7.0,1
2016-01-04,SO,8.0,1
2016-01-04,SYY,9.0,1
2016-01-04,HRL,10.0,1
2016-01-04,FSLR,11.0,1
2016-01-04,K,12.0,1
