strategy_id,date,ticker,event,detail,cash_change,shares_change
D20,2019-10-25,PEP,SELL_PUT,exp=2019-11-15 K=133.00 prem=0.51 x23,1173.0,0
D20,2019-10-25,COST,SELL_PUT,exp=2019-11-15 K=285.00 prem=1.61 x11,1771.0,0
D20,2019-10-25,ABT,SELL_PUT,exp=2019-11-15 K=78.50 prem=0.50 x40,2000.0,0
D20,2019-10-25,TMO,SELL_PUT,exp=2019-11-15 K=280.00 prem=1.35 x11,1485.0,0
D20,2019-10-25,NVDA,SELL_PUT,exp=2019-11-15 K=185.00 prem=2.38 x17,4046.0,0
D20,2019-10-25,FISV,SELL_PUT,exp=2019-11-15 K=100.00 prem=1.88 x31,5828.0,0
D10,2019-11-15,AAPL,CALL_ASSIGN,sell 1800 @260.00 S_close=265.76,468000.0,-1800
D10,2019-11-15,MSFT,PUT_EXPIRE,OTM K=133.00 S_close=149.97,0.0,0
D10,2019-11-15,WMT,PUT_EXPIRE,OTM K=115.00 S_close=118.87,0.0,0
D10,2019-11-15,BAC,PUT_EXPIRE,OTM K=30.00 S_close=32.93,0.0,0
D10,2019-11-15,PG,CALL_EXPIRE,OTM K=130.00 S_close=120.54,0.0,0
D10,2019-11-15,BA,CALL_ASSIGN,sell 1000 @362.50 S_close=371.68,362500.0,-1000
D10,2019-11-15,JNJ,PUT_EXPIRE,OTM K=119.00 S_close=134.94,0.0,0
D10,2019-11-15,HD,CALL_EXPIRE,OTM K=245.00 S_close=237.29,0.0,0
D10,2019-11-15,KO,PUT_EXPIRE,OTM K=52.00 S_close=52.67,0.0,0
D10,2019-11-15,MRK,PUT_EXPIRE,OTM K=77.50 S_close=84.90,0.0,0
D10,2019-11-15,INTC,CALL_EXPIRE,OTM K=62.00 S_close=57.96,0.0,0
D10,2019-11-15,DIS,PUT_EXPIRE,OTM K=125.00 S_close=144.67,0.0,0
D10,2019-11-15,MDT,PUT_EXPIRE,OTM K=100.00 S_close=112.06,0.0,0
D10,2019-11-15,NEE,PUT_EXPIRE,OTM K=230.00 S_close=231.42,0.0,0
D10,2019-11-15,PEP,CALL_EXPIRE,OTM K=145.00 S_close=133.81,0.0,0
D10,2019-11-15,COST,PUT_EXPIRE,OTM K=280.00 S_close=303.66,0.0,0
D10,2019-11-15,ABT,PUT_EXPIRE,OTM K=77.00 S_close=85.71,0.0,0
D10,2019-11-15,TMO,PUT_EXPIRE,OTM K=270.00 S_close=306.81,0.0,0
D10,2019-11-15,NVDA,PUT_EXPIRE,OTM K=180.00 S_close=204.19,0.0,0
D10,2019-11-15,FISV,PUT_EXPIRE,OTM K=95.00 S_close=113.91,0.0,0
D20,2019-11-15,AAPL,CALL_ASSIGN,sell 1500 @257.50 S_close=265.76,386250.0,-1500
D20,2019-11-15,MSFT,PUT_EXPIRE,OTM K=136.00 S_close=149.97,0.0,0
D20,2019-11-15,WMT,PUT_EXPIRE,OTM K=117.00 S_close=118.87,0.0,0
D20,2019-11-15,BAC,CALL_EXPIRE,OTM K=33.00 S_close=32.93,0.0,0
D20,2019-11-15,PG,CALL_EXPIRE,OTM K=128.00 S_close=120.54,0.0,0
D20,2019-11-15,BA,CALL_ASSIGN,sell 900 @360.00 S_close=371.68,324000.0,-900
D20,2019-11-15,JNJ,PUT_EXPIRE,OTM K=122.00 S_close=134.94,0.0,0
D20,2019-11-15,HD,CALL_EXPIRE,OTM K=242.50 S_close=237.29,0.0,0
D20,2019-11-15,KO,PUT_EXPIRE,OTM K=52.00 S_close=52.67,0.0,0
D20,2019-11-15,MRK,PUT_EXPIRE,OTM K=79.00 S_close=84.90,0.0,0
D20,2019-11-15,INTC,CALL_EXPIRE,OTM K=60.00 S_close=57.96,0.0,0
D20,2019-11-15,DIS,CALL_ASSIGN,sell 5000 @135.00 S_close=144.67,675000.0,-5000
D20,2019-11-15,MDT,PUT_EXPIRE,OTM K=101.00 S_close=112.06,0.0,0
D20,2019-11-15,NEE,PUT_EXPIRE,OTM K=230.00 S_close=231.42,0.0,0
D20,2019-11-15,PEP,PUT_EXPIRE,OTM K=133.00 S_close=133.81,0.0,0
