strategy_id,date,cash,equity,daily_pnl
D10,2019-05-20,6766935.92,11621811.97,-58686.59
D20,2019-05-20,6228120.78,11403304.79,-49684.66
D10,2019-05-21,6767564.27,11664655.29,42843.32
D20,2019-05-21,6228699.1,11449782.12,46477.33
D10,2019-05-22,6768190.01,11648557.05,-16098.24
D20,2019-05-22,6229275.01,11428341.06,-21441.06
D10,2019-05-23,6768813.11,11615859.1,-32697.95
D20,2019-05-23,6229848.5,11388416.49,-39924.57
D10,2019-05-24,6769430.9,11621440.89,5581.79
D20,2019-05-24,6230417.1,11402749.04,14332.55
D10,2019-05-28,6770054.11,11660725.11,39284.23
D20,2019-05-28,6230990.69,11429620.69,26871.65
D10,2019-05-29,6770677.39,11616938.4,-43786.72
D20,2019-05-29,6231564.34,11383579.4,-46041.3
D10,2019-05-30,6771303.41,11636048.41,19110.01
D20,2019-05-30,6232140.51,11402571.51,18992.11
D10,2019-05-31,6771921.42,11551820.45,-84227.96
D20,2019-05-31,6232709.32,11340781.29,-61790.22
D10,2019-06-03,6772539.5,11572927.53,21107.07
D20,2019-06-03,6233278.18,11367669.2,26887.91
D10,2019-06-04,6773157.62,11722436.67,149509.14
D20,2019-06-04,6233847.09,11534148.14,166478.93
D10,2019-06-05,6773775.81,11753635.79,31199.12
D20,2019-06-05,6234416.05,11556865.03,22716.9
D10,2019-06-06,6774388.68,11868996.69,115360.89
D20,2019-06-06,6234980.11,11668779.17,111914.14
D10,2019-06-07,6774988.15,11933090.15,64093.46
D20,2019-06-07,6235531.86,11722793.8,54014.63
D10,2019-06-10,6775590.38,11982045.37,48955.22
D20,2019-06-10,6236086.13,11758991.17,36197.37
D10,2019-06-11,6776187.27,11961913.24,-20132.12
D20,2019-06-11,6236635.5,11732561.47,-26429.7
D10,2019-06-12,6776776.16,11950461.16,-11452.09
D20,2019-06-12,6237177.49,11732678.49,117.02
D10,2019-06-13,6777351.64,11935899.64,-14561.52
D20,2019-06-13,6237707.16,11753344.2,20665.71
D10,2019-06-14,6777929.87,11892098.89,-43800.75
D20,2019-06-14,6238239.34,11723365.31,-29978.89
D10,2019-06-17,6778516.22,11862869.21,-29229.68
D20,2019-06-17,6238779.0,11698541.99,-24823.32
D10,2019-06-18,6779099.92,11940212.91,77343.71
D20,2019-06-18,6239316.23,11765122.27,66580.28
D10,2019-06-19,6779672.92,11947883.96,7671.05
D20,2019-06-19,6239843.6,11776912.6,11790.33
D10,2019-06-20,6780235.2,11972409.22,24525.25
D20,2019-06-20,6240361.11,11820145.13,43232.53
D10,2019-06-21,6780792.15,11916821.19,-55588.02
D20,2019-06-21,6240873.71,11758624.71,-61520.41
D10,2019-06-24,6781351.83,11924189.82,7368.63
D20,2019-06-24,6241388.83,11769276.82,10652.11
D10,2019-06-25,6781908.87,11888863.92,-35325.9
D20,2019-06-25,6241901.52,11734480.56,-34796.26
D10,2019-06-26,6782474.03,11926648.08,37784.16
D20,2019-06-26,6242421.67,11780127.62,45647.07
D10,2019-06-27,6783036.54,11941959.55,15311.48
D20,2019-06-27,6242939.4,11790907.41,10779.78
D10,2019-06-28,6783596.41,11925035.42,-16924.13
D20,2019-06-28,6243454.69,11796612.7,5705.29
D10,2019-07-01,6784177.87,11985860.86,60825.43
D20,2019-07-01,6243989.84,11852018.78,55406.09
D10,2019-07-02,6784756.67,12000086.63,14225.77
D20,2019-07-02,6244522.56,11871274.56,19255.78
D10,2019-07-03,6785338.22,12048968.29,48881.66
D20,2019-07-03,6245057.81,11912322.83,41048.26
D10,2019-07-05,6785925.21,12036713.22,-12255.07
D20,2019-07-05,6245598.06,11898999.06,-13323.76
D10,2019-07-08,6786520.33,12030558.33,-6154.9
D20,2019-07-08,6246145.79,11882016.79,-16982.28
D10,2019-07-09,6787115.49,12060001.56,29443.23
D20,2019-07-09,6246693.56,11920662.58,38645.79
D10,2019-07-10,6787694.55,12110620.54,50618.99
D20,2019-07-10,6247226.51,11961874.46,41211.88
D10,2019-07-11,6788265.58,12084187.61,-26432.94
D20,2019-07-11,6247752.07,11947998.06,-13876.4
D10,2019-07-12,6788831.27,12117172.26,32984.65
D20,2019-07-12,6248272.72,11993185.71,45187.65
D10,2019-07-15,6789399.7,12166905.66,49733.4
D20,2019-07-15,6248795.89,12023405.9,30220.18
D10,2019-07-16,6789965.48,12143149.46,-23756.2
D20,2019-07-16,6249316.62,11993252.61,-30153.29
D10,2019-07-17,6790528.62,12127160.63,-15988.84
D20,2019-07-17,6249834.92,11978610.98,-14641.63
D10,2019-07-18,6791070.24,12118651.23,-8509.39
D20,2019-07-18,6250333.42,11981093.41,2482.43
